accuracy,precision,recall,f1,pr_auc,confusion_matrix,roc_auc,method,scarcity,seed,institutions,lambda,partition_method,experiment,degradation_f1
0.9039507586601775,0.5083713850837138,0.4897360703812317,0.4988797610156833,0.48089594418786935,"[[5981, 323], [348, 334]]",0.8834459710912961,local_only,1.0,42,3,0.0,graph_aware,main_scarcity,0.0
0.7774119667907243,0.2720626631853786,0.7639296187683284,0.4012321909896034,0.3250569533430913,"[[4910, 1394], [161, 521]]",0.8429098687050628,fedavg,1.0,42,3,0.0,graph_aware,main_scarcity,0.0
0.7779845405095906,0.2728698379508625,0.7653958944281525,0.4023121387283237,0.3247946018328602,"[[4913, 1391], [160, 522]]",0.842799851511678,fedavg_boundary,1.0,42,3,0.05,graph_aware,main_scarcity,0.0
0.9075293444030919,0.7571428571428571,0.07771260997067449,0.14095744680851063,0.4926298019479901,"[[6287, 17], [629, 53]]",0.8752537605877012,local_only,0.5,42,3,0.0,graph_aware,main_scarcity,0.3579223142071727
0.886916690523905,0.4318181818181818,0.501466275659824,0.46404341926729986,0.432186764656604,"[[5854, 450], [340, 342]]",0.8630574359527815,fedavg,0.5,42,3,0.0,graph_aware,main_scarcity,-0.06281122827769647
0.8856283996564558,0.4262295081967213,0.49560117302052786,0.4583050847457627,0.4325121737883408,"[[5849, 455], [344, 338]]",0.8630406891495601,fedavg_boundary,0.5,42,3,0.05,graph_aware,main_scarcity,-0.05599294601743898
0.904093902089894,0.5352941176470588,0.13343108504398826,0.2136150234741784,0.37716119489254446,"[[6225, 79], [591, 91]]",0.8419904226893133,local_only,0.2,42,3,0.0,graph_aware,main_scarcity,0.28526473754150494
0.9112510735757229,0.6006493506493507,0.27126099706744866,0.37373737373737376,0.46336816571174627,"[[6181, 123], [497, 185]]",0.8665858943537221,fedavg,0.2,42,3,0.0,graph_aware,main_scarcity,0.02749481725222963
0.9112510735757229,0.6006493506493507,0.27126099706744866,0.37373737373737376,0.4630500072032451,"[[6181, 123], [497, 185]]",0.8664802964556321,fedavg_boundary,0.2,42,3,0.05,graph_aware,main_scarcity,0.028574764990949963
0.9025193243630117,0.6,0.004398826979472141,0.008733624454148471,0.3434493124128093,"[[6302, 2], [679, 3]]",0.8296822201050955,local_only,0.1,42,3,0.0,graph_aware,main_scarcity,0.49014613656153483
0.9086744918408245,0.8333333333333334,0.08064516129032258,0.14705882352941177,0.49503639999227195,"[[6293, 11], [627, 55]]",0.8668843130833469,fedavg,0.1,42,3,0.0,graph_aware,main_scarcity,0.2541733674601916
0.9079587746922416,0.8545454545454545,0.0689149560117302,0.12754409769335143,0.4990418568673637,"[[6296, 8], [635, 47]]",0.8679930910132934,fedavg_boundary,0.1,42,3,0.05,graph_aware,main_scarcity,0.2747680410349723
0.9023761809332952,0.0,0.0,0.0,0.2865872806004185,"[[6304, 0], [682, 0]]",0.8075914421974782,local_only,0.05,42,3,0.0,graph_aware,main_scarcity,0.4988797610156833
0.9023761809332952,0.0,0.0,0.0,0.2766104004496777,"[[6304, 0], [682, 0]]",0.751293574251604,fedavg,0.05,42,3,0.0,graph_aware,main_scarcity,0.4012321909896034
0.9023761809332952,0.0,0.0,0.0,0.2639114053747953,"[[6304, 0], [682, 0]]",0.7504454184467898,fedavg_boundary,0.05,42,3,0.05,graph_aware,main_scarcity,0.4023121387283237
0.9023761809332952,0.0,0.0,0.0,0.22594638101544542,"[[6304, 0], [682, 0]]",0.7717451424966879,local_only,0.01,42,3,0.0,graph_aware,main_scarcity,0.4988797610156833
0.9023761809332952,0.0,0.0,0.0,0.20364806799629956,"[[6304, 0], [682, 0]]",0.7103919496256159,fedavg,0.01,42,3,0.0,graph_aware,main_scarcity,0.4012321909896034
0.9023761809332952,0.0,0.0,0.0,0.18432545574265774,"[[6304, 0], [682, 0]]",0.6938120329502657,fedavg_boundary,0.01,42,3,0.05,graph_aware,main_scarcity,0.4023121387283237
